epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1701,1.83396,3.22841,1.9795,0.87617,0.82955,0.89916,0.50271,1.52821,1.0649,1.80251,0.0712,0.0032,0.0032
2,22.8242,1.59572,1.28695,1.6526,0.86192,0.90403,0.91942,0.50712,1.52151,0.75963,1.84648,0.0414356,0.00643565,0.00643565
3,32.9498,1.56875,1.29416,1.6746,0.77697,0.72414,0.78929,0.36656,1.70024,1.45421,2.0109,0.011606,0.00960596,0.00960596
4,42.5937,1.55433,1.31401,1.64358,0.74934,0.75172,0.76094,0.36431,1.77504,1.16498,2.05111,0.009703,0.009703,0.009703
5,52.4409,1.61939,1.30373,1.66449,0.66595,0.57746,0.61798,0.2847,1.97881,2.08789,2.451,0.009604,0.009604,0.009604
6,62.8529,1.62417,1.26064,1.71007,0.64358,0.66002,0.66899,0.32673,1.84985,1.56225,2.36199,0.009505,0.009505,0.009505
7,72.6472,1.56422,1.34427,1.66646,0.58094,0.63101,0.61524,0.29415,1.88545,1.38688,2.26993,0.009406,0.009406,0.009406
8,82.7119,1.545,1.21523,1.72221,0.72482,0.72414,0.73557,0.39929,1.6784,1.1707,2.00897,0.009307,0.009307,0.009307
9,92.7271,1.5317,1.21209,1.64604,0.78232,0.84273,0.85542,0.4096,1.74818,1.12347,2.08691,0.009208,0.009208,0.009208
10,102.787,1.49023,1.12434,1.62935,0.72277,0.82759,0.83592,0.37905,1.79878,1.04043,2.17724,0.009109,0.009109,0.009109
11,113.044,1.48548,1.12728,1.63141,0.69838,0.68666,0.65449,0.32295,1.80027,1.3541,2.14605,0.00901,0.00901,0.00901
12,123.337,1.46583,1.1294,1.6244,0.84934,0.73872,0.85019,0.44437,1.66578,1.02464,2.00137,0.008911,0.008911,0.008911
